Experiment,Model,Accuracy,Balanced Accuracy,Precision minority,Recall minority,F1 minority,Macro-F1,ROC-AUC,AUPRC,G-mean
Original OpenML 1067,LogReg baseline,0.8530805687203792,0.5671848178523746,0.6,0.15306122448979592,0.24390243902439024,0.5812688048140324,0.8057505245088691,0.4662913269166125,0.38755679199660137
Original OpenML 1067,RandomForest baseline,0.8625592417061612,0.6561415220293725,0.5932203389830508,0.35714285714285715,0.445859872611465,0.6837054097051914,0.8363246233072666,0.533545864296211,0.5840560720745079
Original OpenML 1067,LogReg class_weight,0.7393364928909952,0.7166030898340645,0.3333333333333333,0.6836734693877551,0.44816053511705684,0.6387648590786938,0.807257295441541,0.4594581081021139,0.7158460927161581
Original OpenML 1067,RandomForest class_weight,0.8372827804107424,0.7203700171657448,0.4778761061946903,0.5510204081632653,0.5118483412322274,0.7071090047393365,0.8243181384703414,0.4905906439646435,0.7001811705280875
Original OpenML 1067,LogReg RandomOverSampler,0.7251184834123223,0.6915220293724966,0.3118811881188119,0.6428571428571429,0.42,0.6199378881987577,0.8002956322716003,0.44112641577325135,0.6898075426725224
Original OpenML 1067,LogReg SMOTE,0.7456556082148499,0.7120064848369254,0.33678756476683935,0.6632653061224489,0.44673539518900346,0.6408035950303992,0.7972439443066945,0.44759369891854806,0.7103362104999
Strongly Imbalanced OpenML 1067,LogReg baseline,0.9571428571428572,0.5,0.0,0.0,0.0,0.48905109489051096,0.7479011194029852,0.1067306360954478,0.0
Strongly Imbalanced OpenML 1067,RandomForest baseline,0.9589285714285715,0.5407338308457711,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.5635525736166176,0.8388137437810945,0.22959764685311493,0.28840572237131046
Strongly Imbalanced OpenML 1067,LogReg class_weight,0.7142857142857143,0.7114427860696517,0.1,0.7083333333333334,0.17525773195876287,0.5012357774264656,0.7328980099502487,0.1110559197750772,0.7114359909044726
Strongly Imbalanced OpenML 1067,RandomForest class_weight,0.9446428571428571,0.5929726368159204,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.6075860665928253,0.8406405472636816,0.17419013534832997,0.4512971905838277
Strongly Imbalanced OpenML 1067,LogReg RandomOverSampler,0.7160714285714286,0.6924751243781094,0.09580838323353294,0.6666666666666666,0.16753926701570682,0.498193745456185,0.7272232587064676,0.10953942458813622,0.6919940183217156
Strongly Imbalanced OpenML 1067,LogReg SMOTE,0.6910714285714286,0.6993159203980099,0.09289617486338798,0.7083333333333334,0.1642512077294686,0.48738299707393473,0.7323538557213929,0.10498504533852615,0.6992577799253075
